region,cell_type,run,experiment,gene_encoder,attention,loss_ptau,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_baseline,baseline,False,True,huber,2,0.32256944444444446,0.184710826783397,0.34545906384785974,0.2,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_higher_dropout,higher_dropout,False,True,huber,2,0.2861111111111111,0.03830420469619691,0.14665768582684297,0.4,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_highest_dropout,highest_dropout,False,True,huber,2,0.40674603174603174,0.19916513066178956,0.3258699548896402,0.5,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_higher_weight_decay,higher_weight_decay,False,True,huber,2,0.23869047619047618,0.21830208373736293,0.3957759519883742,0.2,0.5,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_highest_weight_decay,highest_weight_decay,False,True,huber,2,0.15312499999999998,0.20633224643061854,0.397272877919022,0.2,1.0,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_lower_lr,lower_lr,False,True,huber,2,0.17916666666666667,0.16683760124638733,0.3194682605098933,0.2,0.1,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_lowest_lr,lowest_lr,False,True,huber,2,0.17098214285714286,0.3120511792032535,0.4974945383922508,0.2,0.1,0.0001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,2,0.2833333333333333,0.09959622070589183,0.22025895429154238,0.2,0.1,0.001,0.01,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,2,0.43591269841269836,0.09419384250735033,0.20878347723434368,0.2,0.1,0.001,0.1,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_wd,dropout_wd,False,True,huber,2,0.14583333333333331,0.17677420129657453,0.3609885449210803,0.4,0.5,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_lr,dropout_lr,False,True,huber,2,0.15069444444444444,0.08819483240812379,0.2513042688369751,0.4,0.1,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_wd_lr,wd_lr,False,True,huber,2,0.18125,0.09455988094741047,0.26565991931905353,0.2,0.5,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_all_moderate,all_moderate,False,True,huber,2,0.09583333333333333,0.2987305019623741,0.4513738602399826,0.4,0.5,0.0005,0.01,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_all_strong,all_strong,False,True,huber,2,0.16666666666666666,0.22389512744953105,0.39076590289672214,0.5,1.0,0.0001,0.1,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_baseline,baseline,False,True,huber,4,0.2498015873015873,0.1893580080712254,0.3292695637016247,0.2,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_higher_dropout,higher_dropout,False,True,huber,4,0.27480158730158727,0.0663808663188883,0.20647498918697238,0.4,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_highest_dropout,highest_dropout,False,True,huber,4,0.28869047619047616,0.1379793403072264,0.25915388522359234,0.5,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_higher_weight_decay,higher_weight_decay,False,True,huber,4,0.15625,0.20266006929572633,0.3682678311597556,0.2,0.5,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_highest_weight_decay,highest_weight_decay,False,True,huber,4,0.19166666666666665,0.14010342211618695,0.3357640793547034,0.2,1.0,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_lower_lr,lower_lr,False,True,huber,4,0.32499999999999996,0.21314269079617937,0.3208067533560097,0.2,0.1,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_lowest_lr,lowest_lr,False,True,huber,4,0.06666666666666667,0.3435234955687745,0.48661294381599873,0.2,0.1,0.0001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,4,0.18784722222222222,0.11642303587335925,0.27585839573293924,0.2,0.1,0.001,0.01,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,4,0.3015376984126984,0.0543894796573113,0.1851826045118893,0.2,0.1,0.001,0.1,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_dropout_wd,dropout_wd,False,True,huber,4,0.22619047619047616,0.15831992339757564,0.29142327373847365,0.4,0.5,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_dropout_lr,dropout_lr,False,True,huber,4,0.25902777777777775,0.09706310819320997,0.2604760945929835,0.4,0.1,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_wd_lr,wd_lr,False,True,huber,4,0.10833333333333334,0.17809947263042808,0.3644966660067439,0.2,0.5,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_all_moderate,all_moderate,False,True,huber,4,0.19285714285714284,0.16883093777071465,0.31211599498055875,0.4,0.5,0.0005,0.01,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_all_strong,all_strong,False,True,huber,4,0.05416666666666667,0.21953835430896987,0.36728077358566225,0.5,1.0,0.0001,0.1,
ITG,Astrocytes,geFalse_attnTrue_huber_pca8_baseline,baseline,False,True,huber,8,0.25223214285714285,0.13817044800466716,0.2916103831181923,0.2,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca8_higher_dropout,higher_dropout,False,True,huber,8,0.32569444444444445,0.12867451983845676,0.3049882020180424,0.4,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca8_highest_dropout,highest_dropout,False,True,huber,8,0.34598214285714285,0.1499065981506732,0.28410930279642344,0.5,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca8_higher_weight_decay,higher_weight_decay,False,True,huber,8,0.13749999999999998,0.11996395021707434,0.2831452307291329,0.2,0.5,0.001,0.001,
