region,cell_type,run,experiment,gene_encoder,attention,loss_ptau,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
V1,Astrocytes,geFalse_attnTrue_huber_pca2_baseline,baseline,False,True,huber,2,0.21354166666666663,0.038501358124120075,0.12517028538665426,0.2,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_higher_dropout,higher_dropout,False,True,huber,2,0.3208333333333333,0.04886549193214393,0.16140019276645035,0.4,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_highest_dropout,highest_dropout,False,True,huber,2,0.353125,0.33142738614885214,0.44349395169410855,0.5,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_higher_weight_decay,higher_weight_decay,False,True,huber,2,0.24861111111111112,0.15833875954477145,0.31842910432411975,0.2,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_highest_weight_decay,highest_weight_decay,False,True,huber,2,0.2725694444444444,0.10746772573232752,0.22819798210791004,0.2,1.0,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_lower_lr,lower_lr,False,True,huber,2,0.15312499999999998,0.24726039494314495,0.41931375104468316,0.2,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_lowest_lr,lowest_lr,False,True,huber,2,0.0875,0.1014567184317468,0.21859588582689563,0.2,0.1,0.0001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,2,0.2520833333333333,0.04315125549387461,0.11267050421641518,0.2,0.1,0.001,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,2,0.3017361111111111,0.05377681497384951,0.1980078239381934,0.2,0.1,0.001,0.1,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_wd,dropout_wd,False,True,huber,2,0.275,0.04784879187197884,0.17316645465325564,0.4,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_lr,dropout_lr,False,True,huber,2,0.11666666666666667,0.12547172190807698,0.2975881692254916,0.4,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_wd_lr,wd_lr,False,True,huber,2,0.11562499999999999,0.10937433783687397,0.26666229028099525,0.2,0.5,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_all_moderate,all_moderate,False,True,huber,2,0.39652777777777776,0.19539803803900063,0.3631299019713575,0.4,0.5,0.0005,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_all_strong,all_strong,False,True,huber,2,0.11666666666666665,0.1589874706127513,0.34814979557025555,0.5,1.0,0.0001,0.1,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_baseline,baseline,False,True,huber,4,0.3347222222222222,0.026669561964710417,0.12244959858556588,0.2,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_higher_dropout,higher_dropout,False,True,huber,4,0.22291666666666665,0.15550946935705157,0.306301045192716,0.4,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_highest_dropout,highest_dropout,False,True,huber,4,0.46249999999999997,0.10619465604741762,0.26293596900844324,0.5,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_higher_weight_decay,higher_weight_decay,False,True,huber,4,0.20416666666666666,0.12387385304188663,0.24603946417725334,0.2,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_highest_weight_decay,highest_weight_decay,False,True,huber,4,0.35833333333333334,0.04602460012898643,0.16917882343598953,0.2,1.0,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_lower_lr,lower_lr,False,True,huber,4,0.2331349206349206,0.09165043985298457,0.24305602116510272,0.2,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_lowest_lr,lowest_lr,False,True,huber,4,0.09598214285714285,0.035897848081866246,0.1536664645730828,0.2,0.1,0.0001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,4,0.24166666666666667,0.06252479743946385,0.1922929814318195,0.2,0.1,0.001,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,4,0.20104166666666667,0.08155965615312566,0.2116324147985627,0.2,0.1,0.001,0.1,
