run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
baseline_attnTrue_losshuber_pca2,baseline,True,huber,2,0.2,0.1,0.001,0.001,0.48541666666666666,0.027031723053877858,0.12692080036504194,
baseline_attnTrue_losshuber_pca4,baseline,True,huber,4,0.2,0.1,0.001,0.001,0.2708333333333333,0.11694827960378966,0.20628907446128625,
baseline_attnTrue_losshuber_pca8,baseline,True,huber,8,0.2,0.1,0.001,0.001,0.2965277777777778,1.674267503661735,0.4688785346224904,
baseline_attnTrue_losshuber_pcaNone,baseline,True,huber,,0.2,0.1,0.001,0.001,0.47916666666666663,0.18082720140350025,0.25966006610542536,
baseline_attnTrue_lossmse_pca2,baseline,True,mse,2,0.2,0.1,0.001,0.001,0.3871527777777778,0.6686477457783697,0.40255304651024437,
baseline_attnTrue_lossmse_pca4,baseline,True,mse,4,0.2,0.1,0.001,0.001,0.3677083333333333,0.42526433004765646,0.47615646113020677,
baseline_attnTrue_lossmse_pca8,baseline,True,mse,8,0.2,0.1,0.001,0.001,0.36319444444444443,0.650689894459113,0.48788825632072985,
baseline_attnTrue_lossmse_pcaNone,baseline,True,mse,,0.2,0.1,0.001,0.001,0.3815972222222222,0.14317253427540572,0.24993581417948008,
baseline_attnTrue_lossmae_pca2,baseline,True,mae,2,0.2,0.1,0.001,0.001,0.3020833333333333,0.5764442645130308,0.4159227243314187,
baseline_attnTrue_lossmae_pca4,baseline,True,mae,4,0.2,0.1,0.001,0.001,0.3208333333333333,0.16823012173674673,0.2442495038267225,
baseline_attnTrue_lossmae_pca8,baseline,True,mae,8,0.2,0.1,0.001,0.001,0.41840277777777773,0.016515881025690078,0.07962858024984598,
baseline_attnTrue_lossmae_pcaNone,baseline,True,mae,,0.2,0.1,0.001,0.001,0.42083333333333334,0.05780936181877738,0.15893010469153523,
baseline_attnFalse_losshuber_pca2,baseline,False,huber,2,0.2,0.1,0.001,0.001,0.4354166666666667,0.9133187221049697,0.3468263237737119,
baseline_attnFalse_losshuber_pca4,baseline,False,huber,4,0.2,0.1,0.001,0.001,0.33576388888888886,0.2076288442173697,0.27101483871228993,
baseline_attnFalse_losshuber_pca8,baseline,False,huber,8,0.2,0.1,0.001,0.001,0.39479166666666665,0.17165521514136814,0.24649851414142177,
baseline_attnFalse_losshuber_pcaNone,baseline,False,huber,,0.2,0.1,0.001,0.001,0.45486111111111105,0.03773211725748598,0.14677861519157887,
baseline_attnFalse_lossmse_pca2,baseline,False,mse,2,0.2,0.1,0.001,0.001,0.33923611111111107,0.21247375881697933,0.3197061089255536,
