region,cell_type,run,experiment,gene_encoder,attention,loss_ptau,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
V1,Astrocytes,geFalse_attnTrue_huber_pca2_baseline,baseline,False,True,huber,2,0.26979166666666665,0.05977905455215356,0.1790070708763475,0.2,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_higher_dropout,higher_dropout,False,True,huber,2,0.3614583333333333,0.10551853815041509,0.21695352722114572,0.4,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_highest_dropout,highest_dropout,False,True,huber,2,0.19999999999999998,0.07656304995204094,0.22419059063152721,0.5,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_higher_weight_decay,higher_weight_decay,False,True,huber,2,0.19166666666666665,0.05602358459477888,0.17615885213793567,0.2,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_highest_weight_decay,highest_weight_decay,False,True,huber,2,0.4364583333333333,0.06318795412534645,0.1843180286620433,0.2,1.0,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_lower_lr,lower_lr,False,True,huber,2,0.23645833333333333,0.055563558302560705,0.1742134188534692,0.2,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_lowest_lr,lowest_lr,False,True,huber,2,0.26249999999999996,0.029513350674738526,0.1431359169461454,0.2,0.1,0.0001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,2,0.3833333333333333,0.19211655033047376,0.3810411926436548,0.2,0.1,0.001,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,2,0.3416666666666666,0.08453404997854819,0.25178542477078736,0.2,0.1,0.001,0.1,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_wd,dropout_wd,False,True,huber,2,0.39166666666666666,0.07712877701451952,0.21658042802785835,0.4,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_lr,dropout_lr,False,True,huber,2,0.21180555555555555,0.14861161401432227,0.3069045329854513,0.4,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_wd_lr,wd_lr,False,True,huber,2,0.28229166666666666,0.1195303928677689,0.22279295787060013,0.2,0.5,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_all_moderate,all_moderate,False,True,huber,2,0.21944444444444441,0.0943528606687418,0.264714861017031,0.4,0.5,0.0005,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca2_all_strong,all_strong,False,True,huber,2,0.2761904761904762,0.13375286050383992,0.31290567220033455,0.5,1.0,0.0001,0.1,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_baseline,baseline,False,True,huber,4,0.26631944444444444,0.04909321152885746,0.1477653025261437,0.2,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_higher_dropout,higher_dropout,False,True,huber,4,0.23333333333333334,0.08057218768659015,0.19997036437659216,0.4,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_highest_dropout,highest_dropout,False,True,huber,4,0.28229166666666666,0.010163955195859149,0.07368069301204135,0.5,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_higher_weight_decay,higher_weight_decay,False,True,huber,4,0.2142361111111111,0.07895857265415426,0.20721453591249883,0.2,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_highest_weight_decay,highest_weight_decay,False,True,huber,4,0.21006944444444445,0.16134217120719,0.35598421582987305,0.2,1.0,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_lower_lr,lower_lr,False,True,huber,4,0.11249999999999999,0.06560109537615519,0.19241712525642168,0.2,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_lowest_lr,lowest_lr,False,True,huber,4,0.17916666666666667,0.13331691729817713,0.3051736340858042,0.2,0.1,0.0001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,4,0.3928571428571428,0.10012161080578832,0.23604605513780066,0.2,0.1,0.001,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,4,0.23333333333333334,0.03661788210578529,0.13506791876473775,0.2,0.1,0.001,0.1,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_dropout_wd,dropout_wd,False,True,huber,4,0.33958333333333335,0.0900031977062843,0.23092057408454517,0.4,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_dropout_lr,dropout_lr,False,True,huber,4,0.12708333333333333,0.07690405555753992,0.2105874988483265,0.4,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_wd_lr,wd_lr,False,True,huber,4,0.25416666666666665,0.2030878536337133,0.38814698481777066,0.2,0.5,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_all_moderate,all_moderate,False,True,huber,4,0.19895833333333335,0.16510393581902993,0.32942644254459685,0.4,0.5,0.0005,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca4_all_strong,all_strong,False,True,huber,4,0.17395833333333333,0.12179135904350927,0.2756325099229192,0.5,1.0,0.0001,0.1,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_baseline,baseline,False,True,huber,8,0.33229166666666665,0.09891955240553396,0.22604560359225917,0.2,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_higher_dropout,higher_dropout,False,True,huber,8,0.24375,0.09685872902037489,0.2358314033675318,0.4,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_highest_dropout,highest_dropout,False,True,huber,8,0.359375,0.0732117504151879,0.19981628978469718,0.5,0.1,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_higher_weight_decay,higher_weight_decay,False,True,huber,8,0.28125,0.07122203168865748,0.21791365762085962,0.2,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_highest_weight_decay,highest_weight_decay,False,True,huber,8,0.40535714285714286,0.11353214007242698,0.2647280245825338,0.2,1.0,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_lower_lr,lower_lr,False,True,huber,8,0.18958333333333333,0.07702525875891655,0.25627614941913635,0.2,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_lowest_lr,lowest_lr,False,True,huber,8,0.0875,0.19265473923800336,0.40659317300499725,0.2,0.1,0.0001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,8,0.3833333333333333,0.03742586910166473,0.1433534293513124,0.2,0.1,0.001,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,8,0.24583333333333332,0.08943090544466922,0.22257579998889318,0.2,0.1,0.001,0.1,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_dropout_wd,dropout_wd,False,True,huber,8,0.23194444444444445,0.09849951316175544,0.2579944238144284,0.4,0.5,0.001,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_dropout_lr,dropout_lr,False,True,huber,8,0.17395833333333333,0.048279123578448296,0.17885035233727345,0.4,0.1,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_wd_lr,wd_lr,False,True,huber,8,0.08090277777777777,0.14068625384722142,0.3104567989939824,0.2,0.5,0.0005,0.001,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_all_moderate,all_moderate,False,True,huber,8,0.32916666666666666,0.09888614153098814,0.23545491179296124,0.4,0.5,0.0005,0.01,
V1,Astrocytes,geFalse_attnTrue_huber_pca8_all_strong,all_strong,False,True,huber,8,0.1625,0.10107100353039185,0.2638376083147401,0.5,1.0,0.0001,0.1,
