region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
CrossRegion,Microglia,geTrue_attnFalse_pca2_baseline,baseline,True,False,2,0.3881944444444444,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_higher_dropout,higher_dropout,True,False,2,0.3652777777777778,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_highest_dropout,highest_dropout,True,False,2,0.25625,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_higher_weight_decay,higher_weight_decay,True,False,2,0.3388888888888889,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_highest_weight_decay,highest_weight_decay,True,False,2,0.2847222222222222,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_lower_lr,lower_lr,True,False,2,0.33125,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_lowest_lr,lowest_lr,True,False,2,0.17222222222222222,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_higher_lambda_entropy,higher_lambda_entropy,True,False,2,0.17013888888888887,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geTrue_attnFalse_pca2_highest_lambda_entropy,highest_lambda_entropy,True,False,2,0.19444444444444442,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geTrue_attnFalse_pca2_dropout_wd,dropout_wd,True,False,2,0.3125,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_dropout_lr,dropout_lr,True,False,2,0.18958333333333333,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_wd_lr,wd_lr,True,False,2,0.25902777777777775,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca2_all_moderate,all_moderate,True,False,2,0.2888888888888889,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geTrue_attnFalse_pca2_all_strong,all_strong,True,False,2,0.16874999999999998,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geTrue_attnFalse_pca4_baseline,baseline,True,False,4,0.16180555555555554,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_higher_dropout,higher_dropout,True,False,4,0.27847222222222223,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_highest_dropout,highest_dropout,True,False,4,0.2569444444444444,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_higher_weight_decay,higher_weight_decay,True,False,4,0.36666666666666664,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_highest_weight_decay,highest_weight_decay,True,False,4,0.48472222222222217,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_lower_lr,lower_lr,True,False,4,0.32986111111111105,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_lowest_lr,lowest_lr,True,False,4,0.19305555555555554,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_higher_lambda_entropy,higher_lambda_entropy,True,False,4,0.3041666666666667,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geTrue_attnFalse_pca4_highest_lambda_entropy,highest_lambda_entropy,True,False,4,0.30624999999999997,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geTrue_attnFalse_pca4_dropout_wd,dropout_wd,True,False,4,0.575,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_dropout_lr,dropout_lr,True,False,4,0.3305555555555555,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_wd_lr,wd_lr,True,False,4,0.3895833333333333,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca4_all_moderate,all_moderate,True,False,4,0.29027777777777775,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geTrue_attnFalse_pca4_all_strong,all_strong,True,False,4,0.2826388888888889,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geTrue_attnFalse_pca8_baseline,baseline,True,False,8,0.28055555555555556,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_higher_dropout,higher_dropout,True,False,8,0.30277777777777776,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_highest_dropout,highest_dropout,True,False,8,0.32708333333333334,0.0,0.0,0.5,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_higher_weight_decay,higher_weight_decay,True,False,8,0.3159722222222222,0.0,0.0,0.2,0.5,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_highest_weight_decay,highest_weight_decay,True,False,8,0.23888888888888887,0.0,0.0,0.2,1.0,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_lower_lr,lower_lr,True,False,8,0.22916666666666669,0.0,0.0,0.2,0.1,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_lowest_lr,lowest_lr,True,False,8,0.25416666666666665,0.0,0.0,0.2,0.1,0.0001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_higher_lambda_entropy,higher_lambda_entropy,True,False,8,0.29166666666666663,0.0,0.0,0.2,0.1,0.001,0.01,
CrossRegion,Microglia,geTrue_attnFalse_pca8_highest_lambda_entropy,highest_lambda_entropy,True,False,8,0.3993055555555555,0.0,0.0,0.2,0.1,0.001,0.1,
CrossRegion,Microglia,geTrue_attnFalse_pca8_dropout_wd,dropout_wd,True,False,8,0.2881944444444444,0.0,0.0,0.4,0.5,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_dropout_lr,dropout_lr,True,False,8,0.3284722222222222,0.0,0.0,0.4,0.1,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_wd_lr,wd_lr,True,False,8,0.26597222222222217,0.0,0.0,0.2,0.5,0.0005,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca8_all_moderate,all_moderate,True,False,8,0.26249999999999996,0.0,0.0,0.4,0.5,0.0005,0.01,
CrossRegion,Microglia,geTrue_attnFalse_pca8_all_strong,all_strong,True,False,8,0.34305555555555556,0.0,0.0,0.5,1.0,0.0001,0.1,
CrossRegion,Microglia,geTrue_attnFalse_pca16_baseline,baseline,True,False,16,0.23819444444444446,0.0,0.0,0.2,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca16_higher_dropout,higher_dropout,True,False,16,0.3986111111111111,0.0,0.0,0.4,0.1,0.001,0.001,
CrossRegion,Microglia,geTrue_attnFalse_pca16_highest_dropout,highest_dropout,True,False,16,0.29583333333333334,0.0,0.0,0.5,0.1,0.001,0.001,
