run,experiment,attention,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
baseline_attnTrue_pca2,baseline,True,2,0.2,0.1,0.001,0.001,0.46736111111111106,0.0,0.0,
baseline_attnTrue_pca4,baseline,True,4,0.2,0.1,0.001,0.001,0.24166666666666664,0.0,0.0,
baseline_attnTrue_pca8,baseline,True,8,0.2,0.1,0.001,0.001,0.39652777777777776,0.0,0.0,
baseline_attnTrue_pcaNone,baseline,True,,0.2,0.1,0.001,0.001,0.5020833333333333,0.0,0.0,
baseline_attnFalse_pca2,baseline,False,2,0.2,0.1,0.001,0.001,0.3597222222222222,0.0,0.0,
baseline_attnFalse_pca4,baseline,False,4,0.2,0.1,0.001,0.001,0.46597222222222223,0.0,0.0,
baseline_attnFalse_pca8,baseline,False,8,0.2,0.1,0.001,0.001,0.5256944444444445,0.0,0.0,
baseline_attnFalse_pcaNone,baseline,False,,0.2,0.1,0.001,0.001,0.5743055555555555,0.0,0.0,
higher_dropout_attnTrue_pca2,higher_dropout,True,2,0.4,0.1,0.001,0.001,0.3881944444444444,0.0,0.0,
higher_dropout_attnTrue_pca4,higher_dropout,True,4,0.4,0.1,0.001,0.001,0.3076388888888889,0.0,0.0,
higher_dropout_attnTrue_pca8,higher_dropout,True,8,0.4,0.1,0.001,0.001,0.37013888888888885,0.0,0.0,
higher_dropout_attnTrue_pcaNone,higher_dropout,True,,0.4,0.1,0.001,0.001,0.41666666666666663,0.0,0.0,
higher_dropout_attnFalse_pca2,higher_dropout,False,2,0.4,0.1,0.001,0.001,0.3159722222222222,0.0,0.0,
higher_dropout_attnFalse_pca4,higher_dropout,False,4,0.4,0.1,0.001,0.001,0.2222222222222222,0.0,0.0,
higher_dropout_attnFalse_pca8,higher_dropout,False,8,0.4,0.1,0.001,0.001,0.3715277777777778,0.0,0.0,
higher_dropout_attnFalse_pcaNone,higher_dropout,False,,0.4,0.1,0.001,0.001,0.6236111111111111,0.0,0.0,
highest_dropout_attnTrue_pca2,highest_dropout,True,2,0.5,0.1,0.001,0.001,0.30208333333333337,0.0,0.0,
highest_dropout_attnTrue_pca4,highest_dropout,True,4,0.5,0.1,0.001,0.001,0.3729166666666667,0.0,0.0,
highest_dropout_attnTrue_pca8,highest_dropout,True,8,0.5,0.1,0.001,0.001,0.4208333333333333,0.0,0.0,
highest_dropout_attnTrue_pcaNone,highest_dropout,True,,0.5,0.1,0.001,0.001,0.43125,0.0,0.0,
highest_dropout_attnFalse_pca2,highest_dropout,False,2,0.5,0.1,0.001,0.001,0.2805555555555555,0.0,0.0,
highest_dropout_attnFalse_pca4,highest_dropout,False,4,0.5,0.1,0.001,0.001,0.2638888888888889,0.0,0.0,
highest_dropout_attnFalse_pca8,highest_dropout,False,8,0.5,0.1,0.001,0.001,0.3395833333333333,0.0,0.0,
highest_dropout_attnFalse_pcaNone,highest_dropout,False,,0.5,0.1,0.001,0.001,0.37152777777777773,0.0,0.0,
higher_weight_decay_attnTrue_pca2,higher_weight_decay,True,2,0.2,0.5,0.001,0.001,0.29791666666666666,0.0,0.0,
higher_weight_decay_attnTrue_pca4,higher_weight_decay,True,4,0.2,0.5,0.001,0.001,0.29027777777777775,0.0,0.0,
higher_weight_decay_attnTrue_pca8,higher_weight_decay,True,8,0.2,0.5,0.001,0.001,0.3145833333333333,0.0,0.0,
higher_weight_decay_attnTrue_pcaNone,higher_weight_decay,True,,0.2,0.5,0.001,0.001,0.4,0.0,0.0,
higher_weight_decay_attnFalse_pca2,higher_weight_decay,False,2,0.2,0.5,0.001,0.001,0.3041666666666667,0.0,0.0,
higher_weight_decay_attnFalse_pca4,higher_weight_decay,False,4,0.2,0.5,0.001,0.001,0.22777777777777775,0.0,0.0,
higher_weight_decay_attnFalse_pca8,higher_weight_decay,False,8,0.2,0.5,0.001,0.001,0.4506944444444444,0.0,0.0,
higher_weight_decay_attnFalse_pcaNone,higher_weight_decay,False,,0.2,0.5,0.001,0.001,0.3798611111111111,0.0,0.0,
highest_weight_decay_attnTrue_pca2,highest_weight_decay,True,2,0.2,1.0,0.001,0.001,0.32013888888888886,0.0,0.0,
highest_weight_decay_attnTrue_pca4,highest_weight_decay,True,4,0.2,1.0,0.001,0.001,0.4131944444444444,0.0,0.0,
highest_weight_decay_attnTrue_pca8,highest_weight_decay,True,8,0.2,1.0,0.001,0.001,0.14791666666666664,0.0,0.0,
highest_weight_decay_attnTrue_pcaNone,highest_weight_decay,True,,0.2,1.0,0.001,0.001,0.42013888888888884,0.0,0.0,
highest_weight_decay_attnFalse_pca2,highest_weight_decay,False,2,0.2,1.0,0.001,0.001,0.38611111111111107,0.0,0.0,
highest_weight_decay_attnFalse_pca4,highest_weight_decay,False,4,0.2,1.0,0.001,0.001,0.3888888888888889,0.0,0.0,
highest_weight_decay_attnFalse_pca8,highest_weight_decay,False,8,0.2,1.0,0.001,0.001,0.3083333333333333,0.0,0.0,
