run,experiment,attention,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
baseline_attnTrue_pca2,baseline,True,2,0.2,0.1,0.001,0.001,0.47638888888888886,0.0,0.0,
baseline_attnTrue_pca4,baseline,True,4,0.2,0.1,0.001,0.001,0.38888888888888884,0.0,0.0,
baseline_attnTrue_pca8,baseline,True,8,0.2,0.1,0.001,0.001,0.43888888888888883,0.0,0.0,
baseline_attnTrue_pcaNone,baseline,True,,0.2,0.1,0.001,0.001,0.42013888888888884,0.0,0.0,
baseline_attnFalse_pca2,baseline,False,2,0.2,0.1,0.001,0.001,0.4395833333333333,0.0,0.0,
baseline_attnFalse_pca4,baseline,False,4,0.2,0.1,0.001,0.001,0.3368055555555555,0.0,0.0,
baseline_attnFalse_pca8,baseline,False,8,0.2,0.1,0.001,0.001,0.4638888888888888,0.0,0.0,
baseline_attnFalse_pcaNone,baseline,False,,0.2,0.1,0.001,0.001,0.5763888888888888,0.0,0.0,
higher_dropout_attnTrue_pca2,higher_dropout,True,2,0.4,0.1,0.001,0.001,0.41874999999999996,0.0,0.0,
higher_dropout_attnTrue_pca4,higher_dropout,True,4,0.4,0.1,0.001,0.001,0.3875,0.0,0.0,
higher_dropout_attnTrue_pca8,higher_dropout,True,8,0.4,0.1,0.001,0.001,0.34097222222222223,0.0,0.0,
higher_dropout_attnTrue_pcaNone,higher_dropout,True,,0.4,0.1,0.001,0.001,0.53125,0.0,0.0,
higher_dropout_attnFalse_pca2,higher_dropout,False,2,0.4,0.1,0.001,0.001,0.3666666666666667,0.0,0.0,
higher_dropout_attnFalse_pca4,higher_dropout,False,4,0.4,0.1,0.001,0.001,0.4520833333333333,0.0,0.0,
higher_dropout_attnFalse_pca8,higher_dropout,False,8,0.4,0.1,0.001,0.001,0.3756944444444444,0.0,0.0,
higher_dropout_attnFalse_pcaNone,higher_dropout,False,,0.4,0.1,0.001,0.001,0.4409722222222222,0.0,0.0,
highest_dropout_attnTrue_pca2,highest_dropout,True,2,0.5,0.1,0.001,0.001,0.28125,0.0,0.0,
highest_dropout_attnTrue_pca4,highest_dropout,True,4,0.5,0.1,0.001,0.001,0.46319444444444446,0.0,0.0,
highest_dropout_attnTrue_pca8,highest_dropout,True,8,0.5,0.1,0.001,0.001,0.24027777777777776,0.0,0.0,
highest_dropout_attnTrue_pcaNone,highest_dropout,True,,0.5,0.1,0.001,0.001,0.5090277777777777,0.0,0.0,
highest_dropout_attnFalse_pca2,highest_dropout,False,2,0.5,0.1,0.001,0.001,0.38611111111111107,0.0,0.0,
highest_dropout_attnFalse_pca4,highest_dropout,False,4,0.5,0.1,0.001,0.001,0.34791666666666665,0.0,0.0,
highest_dropout_attnFalse_pca8,highest_dropout,False,8,0.5,0.1,0.001,0.001,0.3451388888888889,0.0,0.0,
highest_dropout_attnFalse_pcaNone,highest_dropout,False,,0.5,0.1,0.001,0.001,0.5194444444444444,0.0,0.0,
higher_weight_decay_attnTrue_pca2,higher_weight_decay,True,2,0.2,0.5,0.001,0.001,0.28194444444444444,0.0,0.0,
higher_weight_decay_attnTrue_pca4,higher_weight_decay,True,4,0.2,0.5,0.001,0.001,0.30625,0.0,0.0,
higher_weight_decay_attnTrue_pca8,higher_weight_decay,True,8,0.2,0.5,0.001,0.001,0.3388888888888889,0.0,0.0,
higher_weight_decay_attnTrue_pcaNone,higher_weight_decay,True,,0.2,0.5,0.001,0.001,0.5048611111111111,0.0,0.0,
higher_weight_decay_attnFalse_pca2,higher_weight_decay,False,2,0.2,0.5,0.001,0.001,0.35416666666666663,0.0,0.0,
higher_weight_decay_attnFalse_pca4,higher_weight_decay,False,4,0.2,0.5,0.001,0.001,0.4048611111111111,0.0,0.0,
