region,cell_type,run,experiment,gene_encoder,attention,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
PFC,Microglia,geTrue_attnFalse_pca2_baseline,baseline,True,False,2,0.38402777777777775,0.0,0.0,0.2,0.1,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_higher_dropout,higher_dropout,True,False,2,0.4263888888888888,0.0,0.0,0.4,0.1,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_highest_dropout,highest_dropout,True,False,2,0.3111111111111111,0.0,0.0,0.5,0.1,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_higher_weight_decay,higher_weight_decay,True,False,2,0.4423611111111111,0.0,0.0,0.2,0.5,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_highest_weight_decay,highest_weight_decay,True,False,2,0.3076388888888889,0.0,0.0,0.2,1.0,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_lower_lr,lower_lr,True,False,2,0.33055555555555555,0.0,0.0,0.2,0.1,0.0005,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_lowest_lr,lowest_lr,True,False,2,0.25416666666666665,0.0,0.0,0.2,0.1,0.0001,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_higher_lambda_entropy,higher_lambda_entropy,True,False,2,0.22291666666666665,0.0,0.0,0.2,0.1,0.001,0.01,
PFC,Microglia,geTrue_attnFalse_pca2_highest_lambda_entropy,highest_lambda_entropy,True,False,2,0.3520833333333333,0.0,0.0,0.2,0.1,0.001,0.1,
PFC,Microglia,geTrue_attnFalse_pca2_dropout_wd,dropout_wd,True,False,2,0.2715277777777778,0.0,0.0,0.4,0.5,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_dropout_lr,dropout_lr,True,False,2,0.26805555555555555,0.0,0.0,0.4,0.1,0.0005,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_wd_lr,wd_lr,True,False,2,0.3590277777777777,0.0,0.0,0.2,0.5,0.0005,0.001,
PFC,Microglia,geTrue_attnFalse_pca2_all_moderate,all_moderate,True,False,2,0.3145833333333333,0.0,0.0,0.4,0.5,0.0005,0.01,
PFC,Microglia,geTrue_attnFalse_pca2_all_strong,all_strong,True,False,2,0.24444444444444444,0.0,0.0,0.5,1.0,0.0001,0.1,
PFC,Microglia,geTrue_attnFalse_pca4_baseline,baseline,True,False,4,0.3979166666666667,0.0,0.0,0.2,0.1,0.001,0.001,
PFC,Microglia,geTrue_attnFalse_pca4_higher_dropout,higher_dropout,True,False,4,0.32708333333333334,0.0,0.0,0.4,0.1,0.001,0.001,
