run,experiment,attention,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
baseline_attnTrue_pca2,baseline,True,2,0.2,0.1,0.001,0.001,0.30624999999999997,0.0,0.0,
baseline_attnTrue_pca4,baseline,True,4,0.2,0.1,0.001,0.001,0.31875,0.0,0.0,
baseline_attnTrue_pca8,baseline,True,8,0.2,0.1,0.001,0.001,0.4048611111111111,0.0,0.0,
baseline_attnTrue_pcaNone,baseline,True,,0.2,0.1,0.001,0.001,0.5979166666666667,0.0,0.0,
baseline_attnFalse_pca2,baseline,False,2,0.2,0.1,0.001,0.001,0.2798611111111111,0.0,0.0,
baseline_attnFalse_pca4,baseline,False,4,0.2,0.1,0.001,0.001,0.40208333333333335,0.0,0.0,
baseline_attnFalse_pca8,baseline,False,8,0.2,0.1,0.001,0.001,0.39236111111111105,0.0,0.0,
baseline_attnFalse_pcaNone,baseline,False,,0.2,0.1,0.001,0.001,0.4236111111111111,0.0,0.0,
higher_dropout_attnTrue_pca2,higher_dropout,True,2,0.4,0.1,0.001,0.001,0.5458333333333333,0.0,0.0,
higher_dropout_attnTrue_pca4,higher_dropout,True,4,0.4,0.1,0.001,0.001,0.3333333333333333,0.0,0.0,
higher_dropout_attnTrue_pca8,higher_dropout,True,8,0.4,0.1,0.001,0.001,0.26249999999999996,0.0,0.0,
higher_dropout_attnTrue_pcaNone,higher_dropout,True,,0.4,0.1,0.001,0.001,0.6097222222222223,0.0,0.0,
higher_dropout_attnFalse_pca2,higher_dropout,False,2,0.4,0.1,0.001,0.001,0.2138888888888889,0.0,0.0,
higher_dropout_attnFalse_pca4,higher_dropout,False,4,0.4,0.1,0.001,0.001,0.2958333333333333,0.0,0.0,
higher_dropout_attnFalse_pca8,higher_dropout,False,8,0.4,0.1,0.001,0.001,0.29722222222222217,0.0,0.0,
higher_dropout_attnFalse_pcaNone,higher_dropout,False,,0.4,0.1,0.001,0.001,0.5027777777777778,0.0,0.0,
highest_dropout_attnTrue_pca2,highest_dropout,True,2,0.5,0.1,0.001,0.001,0.37569444444444444,0.0,0.0,
highest_dropout_attnTrue_pca4,highest_dropout,True,4,0.5,0.1,0.001,0.001,0.30624999999999997,0.0,0.0,
highest_dropout_attnTrue_pca8,highest_dropout,True,8,0.5,0.1,0.001,0.001,0.31319444444444444,0.0,0.0,
highest_dropout_attnTrue_pcaNone,highest_dropout,True,,0.5,0.1,0.001,0.001,0.5423611111111111,0.0,0.0,
highest_dropout_attnFalse_pca2,highest_dropout,False,2,0.5,0.1,0.001,0.001,0.3972222222222222,0.0,0.0,
highest_dropout_attnFalse_pca4,highest_dropout,False,4,0.5,0.1,0.001,0.001,0.4409722222222222,0.0,0.0,
highest_dropout_attnFalse_pca8,highest_dropout,False,8,0.5,0.1,0.001,0.001,0.3243055555555555,0.0,0.0,
highest_dropout_attnFalse_pcaNone,highest_dropout,False,,0.5,0.1,0.001,0.001,0.517361111111111,0.0,0.0,
higher_weight_decay_attnTrue_pca2,higher_weight_decay,True,2,0.2,0.5,0.001,0.001,0.4125,0.0,0.0,
higher_weight_decay_attnTrue_pca4,higher_weight_decay,True,4,0.2,0.5,0.001,0.001,0.26944444444444443,0.0,0.0,
higher_weight_decay_attnTrue_pca8,higher_weight_decay,True,8,0.2,0.5,0.001,0.001,0.2930555555555555,0.0,0.0,
higher_weight_decay_attnTrue_pcaNone,higher_weight_decay,True,,0.2,0.5,0.001,0.001,0.35624999999999996,0.0,0.0,
higher_weight_decay_attnFalse_pca2,higher_weight_decay,False,2,0.2,0.5,0.001,0.001,0.3006944444444445,0.0,0.0,
higher_weight_decay_attnFalse_pca4,higher_weight_decay,False,4,0.2,0.5,0.001,0.001,0.3722222222222222,0.0,0.0,
higher_weight_decay_attnFalse_pca8,higher_weight_decay,False,8,0.2,0.5,0.001,0.001,0.27847222222222223,0.0,0.0,
higher_weight_decay_attnFalse_pcaNone,higher_weight_decay,False,,0.2,0.5,0.001,0.001,0.4333333333333333,0.0,0.0,
highest_weight_decay_attnTrue_pca2,highest_weight_decay,True,2,0.2,1.0,0.001,0.001,0.23124999999999998,0.0,0.0,
highest_weight_decay_attnTrue_pca4,highest_weight_decay,True,4,0.2,1.0,0.001,0.001,0.3104166666666667,0.0,0.0,
highest_weight_decay_attnTrue_pca8,highest_weight_decay,True,8,0.2,1.0,0.001,0.001,0.3027777777777778,0.0,0.0,
highest_weight_decay_attnTrue_pcaNone,highest_weight_decay,True,,0.2,1.0,0.001,0.001,0.2965277777777777,0.0,0.0,
highest_weight_decay_attnFalse_pca2,highest_weight_decay,False,2,0.2,1.0,0.001,0.001,0.34791666666666665,0.0,0.0,
highest_weight_decay_attnFalse_pca4,highest_weight_decay,False,4,0.2,1.0,0.001,0.001,0.3125,0.0,0.0,
highest_weight_decay_attnFalse_pca8,highest_weight_decay,False,8,0.2,1.0,0.001,0.001,0.2597222222222222,0.0,0.0,
highest_weight_decay_attnFalse_pcaNone,highest_weight_decay,False,,0.2,1.0,0.001,0.001,0.33055555555555555,0.0,0.0,
lower_lr_attnTrue_pca2,lower_lr,True,2,0.2,0.1,0.0005,0.001,0.28402777777777777,0.0,0.0,
lower_lr_attnTrue_pca4,lower_lr,True,4,0.2,0.1,0.0005,0.001,0.31666666666666665,0.0,0.0,
