rank,gene,gene_index,mean_f1_drop,fold1_f1_drop,fold2_f1_drop,fold3_f1_drop,fold4_f1_drop,fold5_f1_drop,fold6_f1_drop,fold7_f1_drop,fold8_f1_drop
1,AL645608.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AL645608.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AL645608.4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AL645608.7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,HES4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AL645608.1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AGRN,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AL645608.5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AL645608.8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DVL1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,FNDC10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,MMP23B,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,PRKCZ,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,HES5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,PRDM16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AL590438.1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,AJAP1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Z98886.1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ESPN,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ZBTB48,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,THAP3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,CAMTA1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AL512330.1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AL365194.1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AL359881.3,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AL359881.2,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,AL359881.1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,PER3,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,PARK7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,RERE,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ENO1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,CTNNBIP1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,AL357140.1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,AL357140.4,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,AL357140.2,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,CENPS,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,CORT,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,AL354956.1,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,PEX14,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,TARDBP,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,DISP3,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,AL590989.1,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,MAD2L2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,TNFRSF8,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,DHRS3,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,AC254633.1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,AL354712.1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,PDPN,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,AL359771.1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,PRDM2,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,AGMAT,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,SPEN,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,ZBTB17,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,HSPB7,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,EPHA2,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,AL451042.2,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,AL451042.1,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,AL137802.2,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,AL137802.1,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,CROCC,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,BX284668.1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,BX284668.2,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,BX284668.5,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,BX284668.6,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,PAX7,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,UBR4,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,PLA2G2C,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,UBXN10-AS1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,CDA,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,PINK1,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,KIF17,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,HP1BP3,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,EIF4G3,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,AL031005.2,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,AL031005.1,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,ZBTB40,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,TEX46,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,KDM1A,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,AL031428.1,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,ZNF436,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,ID3,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,CNR2,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,AL590609.3,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,AL138902.1,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,GRHL3,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,LDLRAP1,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,AL606491.1,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,EXTL1,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,FAM110D,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,ZNF593,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,SFN,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,TRNP1,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,TENT5B,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,WDTC1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,GPR3,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,FO393419.2,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,AHDC1,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,FGR,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,THEMIS2,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,RPA2,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,DNAJC8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,AL353622.1,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,AL353622.2,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,PHACTR4,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,TAF12,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,AL360012.1,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,GMEB1,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,OPRD1,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,TMEM200B,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
