run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
baseline_attnTrue_losshuber_pca2,baseline,True,huber,2,0.2,0.1,0.001,0.001,0.2583333333333333,0.878051175650238,0.6906393255727986,
baseline_attnTrue_losshuber_pca4,baseline,True,huber,4,0.2,0.1,0.001,0.001,0.4171626984126984,0.5862076269314508,0.4447404172969982,
baseline_attnTrue_losshuber_pca8,baseline,True,huber,8,0.2,0.1,0.001,0.001,0.34027777777777773,0.41050252736323684,0.446439444902353,
baseline_attnTrue_losshuber_pcaNone,baseline,True,huber,,0.2,0.1,0.001,0.001,0.41180555555555554,0.07269391709384498,0.2204386975305776,
baseline_attnTrue_lossmse_pca2,baseline,True,mse,2,0.2,0.1,0.001,0.001,0.35416666666666663,1.453389939860256,0.6496488858635227,
baseline_attnTrue_lossmse_pca4,baseline,True,mse,4,0.2,0.1,0.001,0.001,0.4354166666666667,0.11806223266087651,0.24189719076578817,
baseline_attnTrue_lossmse_pca8,baseline,True,mse,8,0.2,0.1,0.001,0.001,0.26041666666666663,0.17130777108325262,0.33254995810178417,
baseline_attnTrue_lossmse_pcaNone,baseline,True,mse,,0.2,0.1,0.001,0.001,0.34201388888888884,0.09249936543082846,0.22823595496204993,
baseline_attnTrue_lossmae_pca2,baseline,True,mae,2,0.2,0.1,0.001,0.001,0.3986111111111111,1.5151739818380914,0.8341744669402639,
baseline_attnTrue_lossmae_pca4,baseline,True,mae,4,0.2,0.1,0.001,0.001,0.31646825396825395,0.116141322324507,0.23544702647874755,
baseline_attnTrue_lossmae_pca8,baseline,True,mae,8,0.2,0.1,0.001,0.001,0.48506944444444444,0.1352501048385611,0.28541164860750234,
baseline_attnTrue_lossmae_pcaNone,baseline,True,mae,,0.2,0.1,0.001,0.001,0.3208333333333333,0.07477188568873823,0.21410824661143124,
baseline_attnFalse_losshuber_pca2,baseline,False,huber,2,0.2,0.1,0.001,0.001,0.28125,0.18791917622763754,0.32284715895851457,
baseline_attnFalse_losshuber_pca4,baseline,False,huber,4,0.2,0.1,0.001,0.001,0.24305555555555552,0.1771619353794007,0.27622284196938074,
baseline_attnFalse_losshuber_pca8,baseline,False,huber,8,0.2,0.1,0.001,0.001,0.21388888888888885,0.3843656143083433,0.5053924228219936,
baseline_attnFalse_losshuber_pcaNone,baseline,False,huber,,0.2,0.1,0.001,0.001,0.48888888888888893,0.029877853795201095,0.12309816270135343,
baseline_attnFalse_lossmse_pca2,baseline,False,mse,2,0.2,0.1,0.001,0.001,0.3951388888888888,0.5439402685462313,0.5511769842899715,
baseline_attnFalse_lossmse_pca4,baseline,False,mse,4,0.2,0.1,0.001,0.001,0.30431547619047616,0.19264414218418224,0.29819659454127156,
baseline_attnFalse_lossmse_pca8,baseline,False,mse,8,0.2,0.1,0.001,0.001,0.3930555555555556,0.22887057593815507,0.40299054817296565,
baseline_attnFalse_lossmse_pcaNone,baseline,False,mse,,0.2,0.1,0.001,0.001,0.4756944444444444,0.0383241922562063,0.16440294093141952,
baseline_attnFalse_lossmae_pca2,baseline,False,mae,2,0.2,0.1,0.001,0.001,0.4302083333333333,0.6646957890195823,0.5704177677010496,
baseline_attnFalse_lossmae_pca4,baseline,False,mae,4,0.2,0.1,0.001,0.001,0.25555555555555554,0.740438999946644,0.5761006542791922,
baseline_attnFalse_lossmae_pca8,baseline,False,mae,8,0.2,0.1,0.001,0.001,0.225,0.15178101704078184,0.322551102261059,
baseline_attnFalse_lossmae_pcaNone,baseline,False,mae,,0.2,0.1,0.001,0.001,0.5743055555555555,0.05204844947320328,0.16913920687511563,
higher_dropout_attnTrue_losshuber_pca2,higher_dropout,True,huber,2,0.4,0.1,0.001,0.001,0.3157738095238095,1.01927962765136,0.6813425590516999,
higher_dropout_attnTrue_losshuber_pca4,higher_dropout,True,huber,4,0.4,0.1,0.001,0.001,0.3248015873015873,0.32442379245502934,0.4476646459661424,
higher_dropout_attnTrue_losshuber_pca8,higher_dropout,True,huber,8,0.4,0.1,0.001,0.001,0.396875,0.42631703113534825,0.41744458970303333,
