region,cell_type,run,experiment,gene_encoder,attention,loss_ptau,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_baseline,baseline,False,True,huber,2,0.42256944444444444,0.10598007623607528,0.2448839949599157,0.2,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_higher_dropout,higher_dropout,False,True,huber,2,0.21388888888888885,0.18804608670528716,0.3331867678401371,0.4,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_highest_dropout,highest_dropout,False,True,huber,2,0.23472222222222222,0.10119497501437325,0.2609480718771617,0.5,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_higher_weight_decay,higher_weight_decay,False,True,huber,2,0.20173611111111112,0.10152154976660008,0.28713646344840527,0.2,0.5,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_highest_weight_decay,highest_weight_decay,False,True,huber,2,0.27271825396825394,0.19899509318502628,0.37217329648168135,0.2,1.0,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_lower_lr,lower_lr,False,True,huber,2,0.13055555555555554,0.13834089618485781,0.30123674559096497,0.2,0.1,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_lowest_lr,lowest_lr,False,True,huber,2,0.17500000000000002,0.21214381033378538,0.40626768317694467,0.2,0.1,0.0001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,2,0.315625,0.1738648437635742,0.347520841518417,0.2,0.1,0.001,0.01,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,2,0.29355158730158726,0.17716423854458302,0.35583450152383495,0.2,0.1,0.001,0.1,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_wd,dropout_wd,False,True,huber,2,0.22986111111111107,0.05322846794632885,0.18674414961909255,0.4,0.5,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_lr,dropout_lr,False,True,huber,2,0.3206349206349206,0.16659324691371932,0.35779891062217456,0.4,0.1,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_wd_lr,wd_lr,False,True,huber,2,0.20694444444444443,0.22761694263180388,0.38034910211960477,0.2,0.5,0.0005,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_all_moderate,all_moderate,False,True,huber,2,0.2560515873015873,0.17989721113933488,0.32358496900026995,0.4,0.5,0.0005,0.01,
ITG,Astrocytes,geFalse_attnTrue_huber_pca2_all_strong,all_strong,False,True,huber,2,0.24285714285714285,0.12139837037518245,0.26582336767266196,0.5,1.0,0.0001,0.1,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_baseline,baseline,False,True,huber,4,0.39459325396825395,0.0615420613829231,0.21171522699296474,0.2,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_higher_dropout,higher_dropout,False,True,huber,4,0.23263888888888884,0.0750077485267381,0.23199393161727738,0.4,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_highest_dropout,highest_dropout,False,True,huber,4,0.3020833333333333,0.2762979795829495,0.4361416351360579,0.5,0.1,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_higher_weight_decay,higher_weight_decay,False,True,huber,4,0.21145833333333333,0.2362925305674496,0.38508639857172966,0.2,0.5,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_highest_weight_decay,highest_weight_decay,False,True,huber,4,0.4123015873015873,0.1922681191071868,0.3558086175471544,0.2,1.0,0.001,0.001,
ITG,Astrocytes,geFalse_attnTrue_huber_pca4_lower_lr,lower_lr,False,True,huber,4,0.28869047619047616,0.20100027487971833,0.3689403207196544,0.2,0.1,0.0005,0.001,
