region,cell_type,run,experiment,gene_encoder,attention,loss_ptau,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_baseline,baseline,False,True,huber,2,0.3458333333333333,0.0821602258468444,0.2036776622602095,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_higher_dropout,higher_dropout,False,True,huber,2,0.30104166666666665,0.2685802689236909,0.43586991393628216,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_highest_dropout,highest_dropout,False,True,huber,2,0.24965277777777778,0.13337229507386128,0.30626026703976095,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_higher_weight_decay,higher_weight_decay,False,True,huber,2,0.21701388888888887,0.0794515791660767,0.2293070771265775,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_highest_weight_decay,highest_weight_decay,False,True,huber,2,0.29166666666666663,0.06546661205508716,0.20560418535023928,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_lower_lr,lower_lr,False,True,huber,2,0.2777777777777778,0.10367926458336194,0.24038517444084087,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_lowest_lr,lowest_lr,False,True,huber,2,0.21527777777777776,0.27957685280658195,0.45574118111593026,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,2,0.29618055555555556,0.13070893641123243,0.2705902435506383,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,2,0.2048611111111111,0.029754290005005693,0.14095224983369312,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_wd,dropout_wd,False,True,huber,2,0.28715277777777776,0.1630304494282575,0.3027090510974328,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_lr,dropout_lr,False,True,huber,2,0.2791666666666667,0.31984207085238436,0.46365575802822906,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_wd_lr,wd_lr,False,True,huber,2,0.2652777777777778,0.20148025905646197,0.3642574148640657,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_all_moderate,all_moderate,False,True,huber,2,0.2791666666666667,0.08987953954618619,0.22789832887550193,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_all_strong,all_strong,False,True,huber,2,0.175,0.3208643010041894,0.4739867884976169,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_baseline,baseline,False,True,huber,4,0.3663194444444444,0.07395379010117156,0.21013175214951235,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_higher_dropout,higher_dropout,False,True,huber,4,0.3701388888888889,0.12300503673119974,0.2710108009632677,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_highest_dropout,highest_dropout,False,True,huber,4,0.34305555555555556,0.07853064264343206,0.1854800870642066,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_higher_weight_decay,higher_weight_decay,False,True,huber,4,0.25277777777777777,0.06403095711889314,0.22202692739665508,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_highest_weight_decay,highest_weight_decay,False,True,huber,4,0.26111111111111107,0.1598862967207962,0.34376365117107827,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_lower_lr,lower_lr,False,True,huber,4,0.3607638888888889,0.1726100097270893,0.27779362335180247,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_lowest_lr,lowest_lr,False,True,huber,4,0.1375,0.12388199165302999,0.2547811182836692,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,4,0.38645833333333335,0.04675701274276665,0.16710528653735915,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,4,0.359375,0.04076534946031883,0.1606643048580736,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_dropout_wd,dropout_wd,False,True,huber,4,0.25277777777777777,0.0875447701361165,0.23569591188182434,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_dropout_lr,dropout_lr,False,True,huber,4,0.24305555555555555,0.15195338098491998,0.2644888774181406,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_wd_lr,wd_lr,False,True,huber,4,0.20416666666666666,0.11349353659546615,0.275975415618935,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_all_moderate,all_moderate,False,True,huber,4,0.19999999999999998,0.17886518934830825,0.3820231797096009,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_all_strong,all_strong,False,True,huber,4,0.1423611111111111,0.13375388997069199,0.3108460676157847,0.5,1.0,0.0001,0.1,
