run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
baseline_attnTrue_losshuber_pca2,baseline,True,huber,2,0.2,0.1,0.001,0.001,0.16527777777777777,0.39676125341334223,0.4385247134293119,
baseline_attnTrue_losshuber_pca4,baseline,True,huber,4,0.2,0.1,0.001,0.001,0.5138888888888888,0.05165660367688633,0.17153034491154054,
baseline_attnTrue_losshuber_pca8,baseline,True,huber,8,0.2,0.1,0.001,0.001,0.31319444444444444,0.041292810621834125,0.15413580369204283,
baseline_attnTrue_losshuber_pcaNone,baseline,True,huber,,0.2,0.1,0.001,0.001,0.2829861111111111,0.09784923054695499,0.2417595133107776,
baseline_attnTrue_lossmse_pca2,baseline,True,mse,2,0.2,0.1,0.001,0.001,0.3111111111111111,0.1273369162485209,0.2800937701637546,
baseline_attnTrue_lossmse_pca4,baseline,True,mse,4,0.2,0.1,0.001,0.001,0.4149305555555555,0.5442951196255965,0.6331210969559227,
baseline_attnTrue_lossmse_pca8,baseline,True,mse,8,0.2,0.1,0.001,0.001,0.38888888888888884,0.1108803052220412,0.23730786540545523,
baseline_attnTrue_lossmse_pcaNone,baseline,True,mse,,0.2,0.1,0.001,0.001,0.4048611111111111,0.11188525299618526,0.21874504489824173,
baseline_attnTrue_lossmae_pca2,baseline,True,mae,2,0.2,0.1,0.001,0.001,0.2534722222222222,0.09190117554393783,0.22619366863121587,
baseline_attnTrue_lossmae_pca4,baseline,True,mae,4,0.2,0.1,0.001,0.001,0.3350694444444444,0.6188582333864215,0.46188191747448093,
baseline_attnTrue_lossmae_pca8,baseline,True,mae,8,0.2,0.1,0.001,0.001,0.4704861111111111,0.28103267854014635,0.34638503659516573,
baseline_attnTrue_lossmae_pcaNone,baseline,True,mae,,0.2,0.1,0.001,0.001,0.46388888888888885,0.04116890540336755,0.1556178282480687,
baseline_attnFalse_losshuber_pca2,baseline,False,huber,2,0.2,0.1,0.001,0.001,0.3520833333333333,0.10662344718353674,0.21866496000438929,
baseline_attnFalse_losshuber_pca4,baseline,False,huber,4,0.2,0.1,0.001,0.001,0.24305555555555552,0.030312663795699857,0.14265361350650588,
baseline_attnFalse_losshuber_pca8,baseline,False,huber,8,0.2,0.1,0.001,0.001,0.4131944444444444,0.1697422963970938,0.2888477840460837,
baseline_attnFalse_losshuber_pcaNone,baseline,False,huber,,0.2,0.1,0.001,0.001,0.45625,0.04209559183950444,0.1583741883126398,
baseline_attnFalse_lossmse_pca2,baseline,False,mse,2,0.2,0.1,0.001,0.001,0.3680555555555555,0.20203943062691493,0.3541365417186171,
baseline_attnFalse_lossmse_pca4,baseline,False,mse,4,0.2,0.1,0.001,0.001,0.4006944444444444,0.12511216436652695,0.27286567104359466,
baseline_attnFalse_lossmse_pca8,baseline,False,mse,8,0.2,0.1,0.001,0.001,0.34027777777777773,0.4252898091500963,0.4350509180997809,
baseline_attnFalse_lossmse_pcaNone,baseline,False,mse,,0.2,0.1,0.001,0.001,0.47812499999999997,0.06515926098681435,0.19203078979626298,
baseline_attnFalse_lossmae_pca2,baseline,False,mae,2,0.2,0.1,0.001,0.001,0.43576388888888884,0.09030073901387306,0.22033125131080547,
baseline_attnFalse_lossmae_pca4,baseline,False,mae,4,0.2,0.1,0.001,0.001,0.3631944444444444,0.5169970524162321,0.4012445161739985,
baseline_attnFalse_lossmae_pca8,baseline,False,mae,8,0.2,0.1,0.001,0.001,0.33854166666666663,0.08769475966236182,0.19345612823963165,
baseline_attnFalse_lossmae_pcaNone,baseline,False,mae,,0.2,0.1,0.001,0.001,0.32291666666666663,0.10449164077992763,0.2316797364425535,
higher_dropout_attnTrue_losshuber_pca2,higher_dropout,True,huber,2,0.4,0.1,0.001,0.001,0.33090277777777777,0.2892310458818048,0.3508382220752537,
higher_dropout_attnTrue_losshuber_pca4,higher_dropout,True,huber,4,0.4,0.1,0.001,0.001,0.265625,0.21085483069311123,0.3578471316723153,
higher_dropout_attnTrue_losshuber_pca8,higher_dropout,True,huber,8,0.4,0.1,0.001,0.001,0.30069444444444443,0.140218678412317,0.29696057554489624,
higher_dropout_attnTrue_losshuber_pcaNone,higher_dropout,True,huber,,0.4,0.1,0.001,0.001,0.4354166666666667,0.054922396786713464,0.1762984897941351,
higher_dropout_attnTrue_lossmse_pca2,higher_dropout,True,mse,2,0.4,0.1,0.001,0.001,0.31076388888888884,0.10290274741735778,0.23873797982620695,
higher_dropout_attnTrue_lossmse_pca4,higher_dropout,True,mse,4,0.4,0.1,0.001,0.001,0.3368055555555555,0.21372243228578847,0.3302878284982095,
higher_dropout_attnTrue_lossmse_pca8,higher_dropout,True,mse,8,0.4,0.1,0.001,0.001,0.4114583333333333,0.40268477644321465,0.3583853098874291,
higher_dropout_attnTrue_lossmse_pcaNone,higher_dropout,True,mse,,0.4,0.1,0.001,0.001,0.3003472222222222,0.11424407132608143,0.27528360278423253,
higher_dropout_attnTrue_lossmae_pca2,higher_dropout,True,mae,2,0.4,0.1,0.001,0.001,0.37083333333333335,0.3284527034130825,0.42696983367204666,
higher_dropout_attnTrue_lossmae_pca4,higher_dropout,True,mae,4,0.4,0.1,0.001,0.001,0.3111111111111111,0.05577559654211886,0.18140671495348215,
higher_dropout_attnTrue_lossmae_pca8,higher_dropout,True,mae,8,0.4,0.1,0.001,0.001,0.40659722222222217,0.2844135358612828,0.403747959760949,
higher_dropout_attnTrue_lossmae_pcaNone,higher_dropout,True,mae,,0.4,0.1,0.001,0.001,0.38541666666666663,0.06009784924467254,0.1601276146247983,
higher_dropout_attnFalse_losshuber_pca2,higher_dropout,False,huber,2,0.4,0.1,0.001,0.001,0.3114583333333333,0.36499898979272727,0.4839451839992156,
higher_dropout_attnFalse_losshuber_pca4,higher_dropout,False,huber,4,0.4,0.1,0.001,0.001,0.2513888888888889,0.39949975896926004,0.5406146538443863,
higher_dropout_attnFalse_losshuber_pca8,higher_dropout,False,huber,8,0.4,0.1,0.001,0.001,0.3868055555555555,0.1566595885797465,0.321163822702753,
higher_dropout_attnFalse_losshuber_pcaNone,higher_dropout,False,huber,,0.4,0.1,0.001,0.001,0.46597222222222223,0.0547709068513258,0.16098656222069013,
higher_dropout_attnFalse_lossmse_pca2,higher_dropout,False,mse,2,0.4,0.1,0.001,0.001,0.35138888888888886,0.10700985955713761,0.2596706432135155,
higher_dropout_attnFalse_lossmse_pca4,higher_dropout,False,mse,4,0.4,0.1,0.001,0.001,0.3642361111111111,0.19126996073936736,0.34320850746492704,
higher_dropout_attnFalse_lossmse_pca8,higher_dropout,False,mse,8,0.4,0.1,0.001,0.001,0.3013888888888889,0.14944718067789883,0.2913262153354784,
higher_dropout_attnFalse_lossmse_pcaNone,higher_dropout,False,mse,,0.4,0.1,0.001,0.001,0.3159722222222222,0.24601161246215408,0.38277075882069767,
higher_dropout_attnFalse_lossmae_pca2,higher_dropout,False,mae,2,0.4,0.1,0.001,0.001,0.32638888888888884,0.09826893067022427,0.2409909626779457,
higher_dropout_attnFalse_lossmae_pca4,higher_dropout,False,mae,4,0.4,0.1,0.001,0.001,0.32638888888888884,0.440700618358342,0.4319876149917642,
higher_dropout_attnFalse_lossmae_pca8,higher_dropout,False,mae,8,0.4,0.1,0.001,0.001,0.2833333333333333,0.15037666594321972,0.30650608396778506,
higher_dropout_attnFalse_lossmae_pcaNone,higher_dropout,False,mae,,0.4,0.1,0.001,0.001,0.47638888888888886,0.12768434619725885,0.27717603277415037,
highest_dropout_attnTrue_losshuber_pca2,highest_dropout,True,huber,2,0.5,0.1,0.001,0.001,0.32881944444444444,0.37054203631099364,0.4253580391329403,
highest_dropout_attnTrue_losshuber_pca4,highest_dropout,True,huber,4,0.5,0.1,0.001,0.001,0.19791666666666663,0.3053275384705361,0.3688100682726751,
highest_dropout_attnTrue_losshuber_pca8,highest_dropout,True,huber,8,0.5,0.1,0.001,0.001,0.2607638888888889,0.20253096656665828,0.35189661802724004,
highest_dropout_attnTrue_losshuber_pcaNone,highest_dropout,True,huber,,0.5,0.1,0.001,0.001,0.32361111111111107,0.10046001107465853,0.25915355142205954,
highest_dropout_attnTrue_lossmse_pca2,highest_dropout,True,mse,2,0.5,0.1,0.001,0.001,0.2611111111111111,1.0384783994813434,0.6786708037058513,
highest_dropout_attnTrue_lossmse_pca4,highest_dropout,True,mse,4,0.5,0.1,0.001,0.001,0.3555555555555555,0.2926249938219881,0.4944799646424751,
highest_dropout_attnTrue_lossmse_pca8,highest_dropout,True,mse,8,0.5,0.1,0.001,0.001,0.2572916666666667,0.23281877142541765,0.3430858324281872,
highest_dropout_attnTrue_lossmse_pcaNone,highest_dropout,True,mse,,0.5,0.1,0.001,0.001,0.3954861111111111,0.04379005383140932,0.1321487609917919,
highest_dropout_attnTrue_lossmae_pca2,highest_dropout,True,mae,2,0.5,0.1,0.001,0.001,0.4756944444444444,0.3584776508729992,0.3989228572075566,
highest_dropout_attnTrue_lossmae_pca4,highest_dropout,True,mae,4,0.5,0.1,0.001,0.001,0.38055555555555554,0.40240619546732537,0.47648833226412535,
highest_dropout_attnTrue_lossmae_pca8,highest_dropout,True,mae,8,0.5,0.1,0.001,0.001,0.31423611111111105,0.07506345550596871,0.21917515286865333,
highest_dropout_attnTrue_lossmae_pcaNone,highest_dropout,True,mae,,0.5,0.1,0.001,0.001,0.3427083333333333,0.22390514741592948,0.3483727150596678,
highest_dropout_attnFalse_losshuber_pca2,highest_dropout,False,huber,2,0.5,0.1,0.001,0.001,0.19027777777777777,0.13436045268093602,0.32165234865775955,
highest_dropout_attnFalse_losshuber_pca4,highest_dropout,False,huber,4,0.5,0.1,0.001,0.001,0.2621527777777778,0.2946246578176174,0.43989439316404366,
highest_dropout_attnFalse_losshuber_pca8,highest_dropout,False,huber,8,0.5,0.1,0.001,0.001,0.2708333333333333,0.4339885516023644,0.39556827855994925,
highest_dropout_attnFalse_losshuber_pcaNone,highest_dropout,False,huber,,0.5,0.1,0.001,0.001,0.3472222222222222,0.12675623634223881,0.3203244580266376,
highest_dropout_attnFalse_lossmse_pca2,highest_dropout,False,mse,2,0.5,0.1,0.001,0.001,0.2642361111111111,0.30299186076897033,0.3716867436499645,
highest_dropout_attnFalse_lossmse_pca4,highest_dropout,False,mse,4,0.5,0.1,0.001,0.001,0.501736111111111,0.19095968248860865,0.3079382264986634,
highest_dropout_attnFalse_lossmse_pca8,highest_dropout,False,mse,8,0.5,0.1,0.001,0.001,0.2621527777777778,0.27801907663709885,0.3731775691267103,
highest_dropout_attnFalse_lossmse_pcaNone,highest_dropout,False,mse,,0.5,0.1,0.001,0.001,0.3125,0.1250209323407805,0.25632109213620424,
highest_dropout_attnFalse_lossmae_pca2,highest_dropout,False,mae,2,0.5,0.1,0.001,0.001,0.390625,0.3123850978750541,0.37289141630753875,
highest_dropout_attnFalse_lossmae_pca4,highest_dropout,False,mae,4,0.5,0.1,0.001,0.001,0.3298611111111111,0.1596919413323976,0.3099350937797377,
