run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
baseline_attnTrue_losshuber_pca2,baseline,True,huber,2,0.2,0.1,0.001,0.001,0.3885416666666667,0.2392570876433739,0.31767537289609515,
baseline_attnTrue_losshuber_pca4,baseline,True,huber,4,0.2,0.1,0.001,0.001,0.29513888888888884,1.0822065961527139,0.4020918664367249,
baseline_attnTrue_losshuber_pca8,baseline,True,huber,8,0.2,0.1,0.001,0.001,0.3458333333333333,0.1580535790443516,0.3290302297876527,
baseline_attnTrue_losshuber_pcaNone,baseline,True,huber,,0.2,0.1,0.001,0.001,0.40451388888888884,0.07168671042306479,0.22823014901950955,
baseline_attnTrue_lossmse_pca2,baseline,True,mse,2,0.2,0.1,0.001,0.001,0.37673611111111105,0.19337033492479594,0.30953745629327994,
baseline_attnTrue_lossmse_pca4,baseline,True,mse,4,0.2,0.1,0.001,0.001,0.44791666666666663,0.0804499306145658,0.21034559584222734,
baseline_attnTrue_lossmse_pca8,baseline,True,mse,8,0.2,0.1,0.001,0.001,0.3416666666666667,0.249241777003248,0.30291595736828947,
baseline_attnTrue_lossmse_pcaNone,baseline,True,mse,,0.2,0.1,0.001,0.001,0.43576388888888884,0.05092282218607398,0.16294154012575746,
baseline_attnTrue_lossmae_pca2,baseline,True,mae,2,0.2,0.1,0.001,0.001,0.32465277777777773,0.16307059311881514,0.28366792954814934,
baseline_attnTrue_lossmae_pca4,baseline,True,mae,4,0.2,0.1,0.001,0.001,0.46388888888888885,0.16784553646461212,0.2788680743736525,
baseline_attnTrue_lossmae_pca8,baseline,True,mae,8,0.2,0.1,0.001,0.001,0.15625,0.168394781168535,0.25097296720681095,
baseline_attnTrue_lossmae_pcaNone,baseline,True,mae,,0.2,0.1,0.001,0.001,0.40625,0.06128177224078586,0.18280213326215744,
baseline_attnFalse_losshuber_pca2,baseline,False,huber,2,0.2,0.1,0.001,0.001,0.29861111111111105,0.1363256680588892,0.22197936651840186,
baseline_attnFalse_losshuber_pca4,baseline,False,huber,4,0.2,0.1,0.001,0.001,0.34930555555555554,0.40938944579039127,0.39169761358061805,
baseline_attnFalse_losshuber_pca8,baseline,False,huber,8,0.2,0.1,0.001,0.001,0.1579861111111111,0.1529618767766836,0.22127456272331378,
baseline_attnFalse_losshuber_pcaNone,baseline,False,huber,,0.2,0.1,0.001,0.001,0.5277777777777777,0.08409210754236417,0.1907596324648087,
baseline_attnFalse_lossmse_pca2,baseline,False,mse,2,0.2,0.1,0.001,0.001,0.40763888888888883,0.245924836313811,0.343458069410796,
baseline_attnFalse_lossmse_pca4,baseline,False,mse,4,0.2,0.1,0.001,0.001,0.23958333333333331,0.10095879982878597,0.2511733730789274,
baseline_attnFalse_lossmse_pca8,baseline,False,mse,8,0.2,0.1,0.001,0.001,0.3489583333333333,0.15280285927414997,0.24138140631839633,
baseline_attnFalse_lossmse_pcaNone,baseline,False,mse,,0.2,0.1,0.001,0.001,0.4423611111111111,0.018806625776040767,0.10693195435063292,
baseline_attnFalse_lossmae_pca2,baseline,False,mae,2,0.2,0.1,0.001,0.001,0.3902777777777777,0.05330984370897503,0.17653257492929697,
baseline_attnFalse_lossmae_pca4,baseline,False,mae,4,0.2,0.1,0.001,0.001,0.38541666666666663,0.18584246161040363,0.3321772470759849,
