region,cell_type,run,experiment,gene_encoder,attention,loss_ptau,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
V2,Astrocytes,geFalse_attnTrue_huber_pca2_baseline,baseline,False,True,huber,2,0.45416666666666666,0.12542755311463935,0.22535236672653505,0.2,0.1,0.001,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_higher_dropout,higher_dropout,False,True,huber,2,0.28125,0.1456974129830268,0.32365877635311335,0.4,0.1,0.001,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_highest_dropout,highest_dropout,False,True,huber,2,0.27499999999999997,0.07695843874836392,0.2325384500824536,0.5,0.1,0.001,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_higher_weight_decay,higher_weight_decay,False,True,huber,2,0.34375,0.08074333168681866,0.2029831389663741,0.2,0.5,0.001,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_highest_weight_decay,highest_weight_decay,False,True,huber,2,0.4447916666666667,0.07372614453401045,0.22689698182512075,0.2,1.0,0.001,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_lower_lr,lower_lr,False,True,huber,2,0.15312499999999998,0.11295136174476807,0.29514231389233225,0.2,0.1,0.0005,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_lowest_lr,lowest_lr,False,True,huber,2,0.178125,0.21914072279326424,0.4174037839984521,0.2,0.1,0.0001,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,2,0.3177083333333333,0.03611378775970775,0.1519716999027878,0.2,0.1,0.001,0.01,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,2,0.31666666666666665,0.027548167152157407,0.13548144050097716,0.2,0.1,0.001,0.1,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_wd,dropout_wd,False,True,huber,2,0.315625,0.07648762057195142,0.2021351583922903,0.4,0.5,0.001,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_lr,dropout_lr,False,True,huber,2,0.25416666666666665,0.1605401075222527,0.3092871046392247,0.4,0.1,0.0005,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_wd_lr,wd_lr,False,True,huber,2,0.296875,0.11708573564045704,0.2815637394281415,0.2,0.5,0.0005,0.001,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_all_moderate,all_moderate,False,True,huber,2,0.24305555555555552,0.19668178269355746,0.34153292844227207,0.4,0.5,0.0005,0.01,
V2,Astrocytes,geFalse_attnTrue_huber_pca2_all_strong,all_strong,False,True,huber,2,0.08541666666666665,0.19755207290466803,0.37642446265090257,0.5,1.0,0.0001,0.1,
