run,experiment,attention,loss_ptau,pca_components,dropout,weight_decay,lr,lambda_entropy,avg_f1,avg_mse,avg_mae,error
baseline_attnTrue_lossnone_pcaNone,baseline,True,none,,0.2,0.1,0.001,0.001,0.2583333333333333,0.41923678329340375,0.5494567510516692,
baseline_attnFalse_lossnone_pcaNone,baseline,False,none,,0.2,0.1,0.001,0.001,0.2777777777777778,0.39790462339491695,0.5173095689776044,
higher_dropout_attnTrue_lossnone_pcaNone,higher_dropout,True,none,,0.4,0.1,0.001,0.001,0.2958333333333333,0.4698047632815431,0.5035933869269986,
higher_dropout_attnFalse_lossnone_pcaNone,higher_dropout,False,none,,0.4,0.1,0.001,0.001,0.22916666666666666,0.3223826579880746,0.5021013376147797,
highest_dropout_attnTrue_lossnone_pcaNone,highest_dropout,True,none,,0.5,0.1,0.001,0.001,0.42361111111111105,0.24493177730535914,0.4500717592503255,
highest_dropout_attnFalse_lossnone_pcaNone,highest_dropout,False,none,,0.5,0.1,0.001,0.001,0.23055555555555557,0.21338581805026552,0.3608072047742705,
higher_weight_decay_attnTrue_lossnone_pcaNone,higher_weight_decay,True,none,,0.2,0.5,0.001,0.001,0.3555555555555555,0.16215513677972315,0.371151803759858,
higher_weight_decay_attnFalse_lossnone_pcaNone,higher_weight_decay,False,none,,0.2,0.5,0.001,0.001,0.24444444444444444,0.23015367927921915,0.43966792353118456,
highest_weight_decay_attnTrue_lossnone_pcaNone,highest_weight_decay,True,none,,0.2,1.0,0.001,0.001,0.2652777777777777,0.20371824191878424,0.4106524186208844,
highest_weight_decay_attnFalse_lossnone_pcaNone,highest_weight_decay,False,none,,0.2,1.0,0.001,0.001,0.3125,0.12520557887398515,0.32696955425975227,
lower_lr_attnTrue_lossnone_pcaNone,lower_lr,True,none,,0.2,0.1,0.0005,0.001,0.28194444444444444,0.3364020598878432,0.48288008136053884,
lower_lr_attnFalse_lossnone_pcaNone,lower_lr,False,none,,0.2,0.1,0.0005,0.001,0.18472222222222223,0.27686850057527385,0.4630951624518882,
lowest_lr_attnTrue_lossnone_pcaNone,lowest_lr,True,none,,0.2,0.1,0.0001,0.001,0.15,0.18791898575449117,0.4055240750312805,
lowest_lr_attnFalse_lossnone_pcaNone,lowest_lr,False,none,,0.2,0.1,0.0001,0.001,0.17777777777777776,0.3710828833372943,0.5199766918861618,
higher_lambda_entropy_attnTrue_lossnone_pcaNone,higher_lambda_entropy,True,none,,0.2,0.1,0.001,0.01,0.3625,0.27665612637317816,0.46095295902341604,
higher_lambda_entropy_attnFalse_lossnone_pcaNone,higher_lambda_entropy,False,none,,0.2,0.1,0.001,0.01,0.34444444444444444,0.23984307883540876,0.39990477900331217,
highest_lambda_entropy_attnTrue_lossnone_pcaNone,highest_lambda_entropy,True,none,,0.2,0.1,0.001,0.1,0.1875,0.18739366090309356,0.35969898508240783,
highest_lambda_entropy_attnFalse_lossnone_pcaNone,highest_lambda_entropy,False,none,,0.2,0.1,0.001,0.1,0.32638888888888884,0.23912252019444544,0.3998578581959009,
dropout_wd_attnTrue_lossnone_pcaNone,dropout_wd,True,none,,0.4,0.5,0.001,0.001,0.23055555555555554,0.18097649501940843,0.4037201286021931,
dropout_wd_attnFalse_lossnone_pcaNone,dropout_wd,False,none,,0.4,0.5,0.001,0.001,0.23333333333333334,0.23044449075522294,0.4452319222812851,
dropout_lr_attnTrue_lossnone_pcaNone,dropout_lr,True,none,,0.4,0.1,0.0005,0.001,0.30694444444444446,0.15398379309239044,0.3478974003034333,
dropout_lr_attnFalse_lossnone_pcaNone,dropout_lr,False,none,,0.4,0.1,0.0005,0.001,0.23333333333333334,0.19520296561846343,0.36065148127575714,
wd_lr_attnTrue_lossnone_pcaNone,wd_lr,True,none,,0.2,0.5,0.0005,0.001,0.425,0.25654962829338435,0.4712126742427548,
wd_lr_attnFalse_lossnone_pcaNone,wd_lr,False,none,,0.2,0.5,0.0005,0.001,0.5083333333333333,0.1641091158933573,0.36857606222232187,
all_moderate_attnTrue_lossnone_pcaNone,all_moderate,True,none,,0.4,0.5,0.0005,0.01,0.24444444444444444,0.23085904789319028,0.4452015060621003,
all_moderate_attnFalse_lossnone_pcaNone,all_moderate,False,none,,0.4,0.5,0.0005,0.01,0.2583333333333333,0.2847191478540758,0.46342056632662815,
all_strong_attnTrue_lossnone_pcaNone,all_strong,True,none,,0.5,1.0,0.0001,0.1,0.1361111111111111,0.22261564664818087,0.43861980115373933,
all_strong_attnFalse_lossnone_pcaNone,all_strong,False,none,,0.5,1.0,0.0001,0.1,0.1958333333333333,0.16722098690174336,0.3770903080391387,
